ICAO	Airline	CALL SIGN	Country
ERC	Esso Resources Canada	ESSO	Canada
ERD		SEREAD	
ERE	Erie Airways	AIR ERIE	United States
ERF	Erfoto	ERFOTO	Portugal
ERG		AVIAENERGO	
ERH	Era Helicopters	ERAH	United States
ERI	Aero Servicios Regiomontanos	ASERGIO	Mexico
ERJ	Eurojet Italia	JET ITALIA	Italy
ERK	Aerosec	AEROSEC	Chile
ERL		AEROLAB	
ERM	Aeromaan	EOMAAN	Mexico
ERN	Ernest Airlines	ERNEST	Italy
ERO	Aeroecom	AEROECOM	Venezuela
ERO	Sun D'Or	ECHO ROMEO	Israel
ERR		ERAH	
ERS		ERITREAN REDSEA	
ERT	Eritrean Airlines	ERITREAN	Eritrea
ERV	Yerevan-Avia	YEREVAN-AVIA	Armenia
ERX	Earth Airlines Services	EARTH AIR	Nigeria
ERY		ERIE SHORE	
ESA		SEAGREEN	
ESB	Aereosaba	AEREOSABA	Mexico
ESC	El Sol De América	SOLAMERICA	Venezuela
ESD		ESEN AIR	
ESE	Ensenada Vuelos Especiales	ENSENADA ESPECIAL	Mexico
ESG		ESTONIAN REGIONAL	
ESI	ESI Eliservizi Italiani	ELISERVIZI	Italy
ESJ	Eastern SkyJets	EASTERN SKYJETS	United Arab Emirates
ESK		RELAX	
ESL	Russian Sky Airlines	RADUGA	Russia
ESM		EXEC AIRCRAFT	
ESN	Euro Sun	EURO SUN	Turkey
ESP		ESPEAIR	
ESR	Eastar Jet	EASTAR	South Korea
ESS	Eos Airlines	NEW DAWN	United States
EST	Carga Express Internacional	CARGAINTER	Mexico
ESU	Aerolíneas Ejecutivas Del Sureste	ALESUR	Mexico
ESW		W-BUSINESS	
ESX	Euroskylink	CATFISH	United Kingdom
ESY		EXCO AIR	
ESZ	Aeronáutica La Esperanza	ESPERANZA	Mexico
ETA	Estrellas Del Aire	ESTRELLAS	Mexico
ETC	African Transport Trading and Investment Company	TRANATTICO	Sudan
ETD	Etihad Airways	ETIHAD	United Arab Emirates
ETE	Aero Siete	AEROSIETE	Mexico
ETH	Ethiopian Airlines	ETHIOPIAN	Ethiopia
ETI	H-Bird Aviation Services AB	JETHAWK	Sweden
ETJ		EAST TAJIK	
ETL	Patterson Aviation Company	ENTEL	United States
ETM	Etram Air Wing	ETRAM	Angola
ETN	Chim-Nir Aviation	CHIMNIR	Israel
ETO		ETELEAIR	
ETP	Empire Test Pilots' School	TESTER	United Kingdom
ETR		ESTEL	
ETS	Flygtransporter I Nykoping	EXTRANS	Sweden
ETT		ETTAIR	
ETV	European Executive	EURO EXEC	United Kingdom
ETW		EAGLE TRANS	
ETX		NEAT	
ETZ		AERO ZODIAC	
EUA		GOLDEN ANGEL	
EUF		EUROFLIGHT	
EUG	Euroguineana de Aviación	EUROGUINEA	Equatorial Guinea
EUH		EURALAIR HORIZONS	
EUI		EURAVIA	
EUJ		SCOTAIR	
EUK		SNOWBIRD	
EUL		EUROLAO	
EUP	Pan Europeenne Air Service	SAVOY	France
EUR		EUROJET	
EUS		EURASIA	
EUT	European 2000 Airlines	FIESTA	Malta
EUU	Euroamerican Air	EUROAMERICAN	Uruguay
EUW	EFS European Flight Service	EUROWEST	Sweden
EUX		YELLOW	
EUY	EU Airways	EUROAIRWAYS	Ireland
EVA	EVA Air	EVA	Taiwan
EVE	Air Evex	SUNBEAM	Germany
EVE	Evelop Airlines	EVELOP	Spain
EVJ		EVERJETS	
EVK	Everett Aviation	EVERETT	Kenya
EVL	Evolem Aviation	EVOLEM	France
EVM	Natural Environment Research Council	SCIENCE	United Kingdom
EVN	Euraviation	EURAVIATION	Italy
EVP		EUROAIR	
EVR	Aeronautical Academy of Europe	DIANA	Portugal
EVT		AEROVENETA	
EWA		EWEST	
EWE	Eurowings Europe	EUROWINGS	Austria
EWF		SHARK	
EWG	Eurowings	EUROWINGS	Germany
EWR	Ewa Air	MAYOTTE AIR	France
EWS	Enterprise World Airways	WORLD ENTERPRISE	Democratic Republic of the Congo
EWW	Emery Worldwide Airlines	EMERY	United States
EWZ		E-WING	
EXA	Execair Aviation	CANADIAN EXECAIRE	Canada
EXB	Brazilian Army Aviation	BRAZILIAN ARMY	Brazil
EXC	European Executive Express	ECHO EXPRESS	Sweden
EXD		CIELOS	
EXE	Executive Flight	EXEC	United States
EXF	Eximflight	EXIMFLIGHT	Mexico
EXG	Air Exchange	EXCHANGE	United States
EXH	G5 Executive	BATMAN	Switzerland
EXI		EXCEL AIR	
EXJ		VOLANTE	
EXK	Executive Airlines	EXECUTIVE EAGLE	United States
EXL		EXCELL AIR	
EXM	United Kingdom Civil Aviation Authority	EXAM	United Kingdom
EXN	Exin	EXIN	Poland
EXP	Business Express Delivery	EXPRESS AIR	Canada
EXP	Island Air Express	ISLAND EXPRESS	United States
EXR	Expertos En Carga	EXPERTOS ENCARGA	Mexico
EXS	Jet2.com	CHANNEX	United Kingdom
EXT	Night Express	EXECUTIVE	Germany
EXU	Executive Airlines	SACAIR	Spain
EXV	FitsAir	EXPOAVIA	Sri Lanka
EXW	Executive Airlines Services	ECHOLINE	Nigeria
EXX	International Air Corporation	EXPRESS INTERNATIONAL	United States
EXY	South African Express	EXPRESSWAYS	South Africa
EXZ	East African Safari Air Express	TWIGA	Kenya
EYE	F.S. Air Service	SOCKEYE	United States
EYS		EXTRANS	
EYT		JERNAS	
EZA		EZNIS	
EZB	Flugschule Eichenberger	EICHENBURGER	Switzerland
EZD	Philippines AirAsia	REDHOT	Philippines
EZD	Zest Airways	ZEST AIRWAYS	Philippines
EZE	Eastern Airways	EASTFLIGHT	United Kingdom
EZJ	Ezjet GT	GUYANA JET	Guyana
EZS	EasyJet Switzerland	TOPSWISS	Switzerland
EZX	Eagle Express Air Charter	EAGLEXPRESS	Malaysia
EZY	EasyJet	EASY	United Kingdom
FAB	First Air	FIRST AIR	Canada
FAC	Atlantic Helicopters	FAROECOPTER	Denmark
FAD	Rog-Air	AIR FRONTIER	Canada
FAE	Freshaer	WILDGOOSE	United Kingdom
FAF	Force Aerienne Francaise	FRENCH AIR FORCE	France
FAG	Argentine Air Force	FUAER	Argentina
FAH	Farnair Hungary	BLUE STRIP	Hungary
FAI		MOTOR-CITY	
FAJ		FIJIAIR	
FAK	Financial Airxpress	FACTS	United States
FAL	Friendship Air Alaska	FRIENDSHIP	United States
FAM	Fumigación Aérea Andaluza	FAASA	Spain
FAN	AF-Air International	FANBIRD	Angola
FAO	Falcon Air Express	PANTHER	United States
FAP	F Air	FAIR SCHOOL	Czech Republic
FAR	Falcon Air	FALCAIR	Slovenia
FAS	Florida Air Cargo	FLORIDA CARGO	United States
FAS	Freedom Airways	FREEDOM AIRWAYS	Cyprus
FAT	ASL Airlines Switzerland	FARNER	Switzerland
FAU	Falcon Airline	FALCON AIRLINE	Nigeria
FAV	Fair Aviation	FAIRAVIA	South Africa
FAW	Falwell Aviation	FALWELL	United States
FAX	Midwest Air Freighters	FAIRFAX	United States
FAY	Fayban Air Services	FAYBAN AIR	Nigeria
FAZ	Flint Aviation Services	FLINT AIR	United States
FBA	Fab Air	FAB AIR	Kyrgyzstan
FBC		BLUE CRANE	
FBD		FIREBIRD	
FBE		AFRIBEE	
FBF	Fine Airlines	FINE AIR	United States
FBJ		BABY JET	
FBL		FOODBROJER	
FBN		FLORIDA TRANSPORT	
FBR		AVANGARD	
FBU	French Bee	FRENCH BEE	France
FBY		BAI FLY	
FBZ	Flybondi	BONDI	Argentina
FCA	First Choice Airways	JETSET	United Kingdom
FCB	Cobalt	NEW AGE	Cyprus
FCC	First Cambodia Airlines	FIRST CAMBODIA	Cambodia
FCE	Flycolumbia	FLYCOLUMBIA	Spain
FCH		SKY UNION	
FCI	Air Carriers	FAST CHECK	United States
FCJ	AirSprint US	FRACJET	United States
FCK	FCS Flight Calibration Services	NAV CHECKER	Germany
FCL	Florida Coastal Airlines	FLORIDA COASTAL	United States
FCM		ATOLL CARGO	
FCN	Falcon Air	FALCON	Sweden
FCO	Aerofrisco	AEROFRISCO	Mexico
FCP	Nelson Aviation College Ltd	FLIGHTCORP	New Zealand
FCR	Flying Carpet Company	FLYING CARPET	Lebanon
FCS	Facts Air	MEXFACTS	Mexico
FCT	Fly CI Limited	DEALER	United Kingdom
FCV	Flight Centre Victoria	NAVAIR	Canada
FCX		FALCON CARGO	
FCY		FLY COMPANY	
FDA	African Airlines	AIR SANKORE	Mali
FDB	Flydubai	SKY DUBAI	United Arab Emirates
FDC		FEDERICK	
FDE		FEDEREAGLE	
FDK		DAMAVIA	
FDL	Farmingdale State University	FARMINGDALE STATE	United States
FDM		LIBERTY	
FDN	Dolphin Air	FLYING DOLPHIN	United Arab Emirates
FDO	France Douanes	FRENCH CUSTOM	France
FDR	Federal Air	FEDAIR	South Africa
FDS	African Medical and Research Foundation	FLYDOC	Kenya
FDT		FREEDOM EAGLE	
FDX	FedEx Express	FEDEX	United States
FDY	Sun Air International	FRIENDLY	United States
FEA	Far Eastern Air Transport	FAR EASTERN	Taiwan
FEC	Denver Express	FALCON EXPRESS	United States
FED	Líneas Aéreas Federales	FEDERALES	Argentina
FEE	Fly Europa Limited	FLY EURO	United Kingdom
FEG	FlyEgypt	SKY EGYPT	Egypt
FEI	Eagle Air	ARCTIC EAGLE	Iceland
FEJ		AVIAJET	
FEL		PREMIERE	
FEM		ZIM AIRLINK	
FEN		FENESTRON	
FEO	Aeroferinco	FERINCO	Mexico
FER	Feria Aviación	FERIA	Spain
FES	Aero Taxis Y Servicios Alfe	AERO ALFE	Mexico
FET	Old Dominion Freight Lines	FREIGHT LINE	United States
FEU		AEROCOM	
FEW		EASTERN CARGO	
FEX	Flightexec	FLIGHTEXEC	Canada
FEY	Fly Easy	FLYEASY	India
FFA	Avialesookhrana	AVIALESOOKHRANA	Russia
FFB	Africair Service	FOXTROT FOXTROT	Senegal
FFC	Fairoaks Flight Centre	FAIROAKS	United Kingdom
FFD	Stuttgarter Flugdienst	FIRST FLIGHT	Germany
FFE		SMART TRAINER	
FFF	Freedom Air Services	INTER FREEDOM	Nigeria
FFG	Flugdienst Fehlhaber	WITCHCRAFT	Germany
FFH	Shalom Air Services	PEACE AIR	Nigeria
FFI	Infinit Air	INFINIT	Spain
FFL	ForeFlight	FOREFLIGHT	United States
FFM	Firefly	FIREFLY	Malaysia
FFP	Fischer Air Polska	FLYING FISH	Poland
FFR	Fischer Air	FISCHER	Czech Republic
FFS	Florida Department of Agriculture	FORESTRY	United States
FFT	Frontier Airlines	FRONTIER FLIGHT	United States
FFU	GEC Marconi Avionics	FERRANTI	United Kingdom
FFV		SWIFT TANGO	
FFW		FLY FINN	
FFY	Fun Flying Thai Air Service	FUN FLYING	Thailand
FGA	Georgian Aviation Federation	GEORGIA FED	Georgia
FGC	Departament d'Agricultura de la Generalitat de Catalunya	FORESTALS	Spain
FGD		FIREGUARD	
FGE	Fly Georgia	GEORGIA WING	Georgia
FGG		BLUEFINCH	
FGH		FANAIR	
FGL		APPLEWOOD	
FGN	National Gendarmerie	FRANCE GENDARME	France
FGP	Flying-Research Aerogeophysical Center	FLYING CENTER	Russia
FGS	Elitellina	ELITELLINA	Italy
FGT	Aero Freight	FREIAERO	Mexico
FHE	Hello	FLYHELLO	Switzerland
FHL	Fast Helicopters	FINDON	United Kingdom
FHM		EUROBIRD	
FHS	Forth and Clyde Helicopter Services	HELISCOT	United Kingdom
FHV		PATROL	
FHY	Freebird Airlines	FREEBIRD AIR	Turkey
FIA	Fly One	FIA AIRLINES	Moldova
FIB		FREE IBERICA	
FIC	Aerosafin	AEROSAFIN	Mexico
FIE		FIESTA	
FIF	Air Finland	AIR FINLAND	Finland
FIH	FinnHEMS	FINNHEMS	Finland
FII		FLIGHT CHECKER	
FIL	Fly Line	FLYLINE	Spain
FIN	Finnair	FINNAIR	Finland
FIR	First Line Air	FIRSTLINE AIR	Sierra Leone
FIT		FINALAIR	
FIV	CitationAir	FIVE STAR	United States
FIX	Airfix Aviation	AIRFIX	Finland
FJA		LINK FIJI	
FJB		FASTBIRD	
FJC	Falcon Jet Centre	FALCONJET	United Kingdom
FJE	Silverjet	ENVOY	United Kingdom
FJI	Fiji Airways	FIJI	Fiji
FJI	Fiji Airways	PACIFIC	Fiji
FJM	Fly Jamaica Airways	GREENHEART	Jamaica
FJR		SOLITAIRE AIR	
FJS	Florida Jet Service	FLORIDAJET	United States
FJT		FLY JET	
FJW		ZIMBIRD	
FKI	FLM Aviation Mohrdieck	KIEL AIR	Germany
FKL	Kelner Airways	KELNER	Canada
FKS	Focus Air	FOCUS	United States
FKZ		KUMBA	
FLA	Midway Express	PALM	United States
FLB		ROSSIGNOL	
FLC	FINFO Flight Inspection Aircraft	FLIGHT CHECK	United States
FLD		FLORIDIAN	
FLE	Flair Airlines	FLAIR	Canada
FLF	Friendship Airlines	FRIEND AIR	Uganda
FLG	Pinnacle Airlines	FLAGSHIP	United States
FLH	Sky Bus	MILE HIGH	United States
FLI	Atlantic Airways	FAROELINE	Faroe Islands
FLJ		FLYNOR JET	
FLK	Flylink Express	FLYLINK	Spain
FLL	Federal Airlines	FEDERAL AIRLINES	Sweden
FLM	Fly Air	FLY WORLD	Turkey
FLN	Flamingo Air-Line	ILIAS	Kazakhstan
FLO	Flycom	FLYCOM	Slovenia
FLP		PARAPRO	
FLR	Fleetair	FLEETAIR	South Africa
FLS		RAPIDOS	
FLT		FLIGHTLINE	
FLU	Flugschule Basel	YELLOW FLYER	Switzerland
FLV		BELOUGA	
FLW	FLowair Aviation	QUICKFLOW	France
FLX	Flight Express, Inc.	FLIGHT EXPRESS	United States
FLY	Fly Me Sweden	FLYBIRD	Sweden
FLZ	Aero Leasing	AIR FLORIDA	United States
FMA		FAASA	
FMB		RESCUE JET	
FMC	Claessens International Limited	CLAESSENS	United Kingdom
FMF		EGYPT ACADENY	
FMG	FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt	HUSKY	Germany
FMI	FMI Air	FIRST MYANMAR	Myanmar
FMR	Flamingo Air	FLAMINGO AIR	United States
FMS	Hadison Aviation	HADI	United States
FMT		COTAM	
FMX		FASTMEX	
FMY	Aviation Legere De L'Armee De Terre	FRENCH ARMY	France
FNA	Norlandair	NORLAND	Iceland
FNC	Finalair Congo	FINALAIR CONGO	Republic of the Congo
FNE		FARNAIR EUROPE	
FNF	Finnish Air Force	FINNFORCE	Finland
FNG	Frontier Guard	FINNGUARD	Finland
FNH		INCOM-PHOENIX	
FNK	Feniks Airline	AURIKA	Kazakhstan
FNL	Oulun Tilauslento	FINN FLIGHT	Finland
FNO	Aeroflota Del Noroeste	RIAZOR	Spain
FNS		FINESSE	
FNT	L-3 Communications Flight International Aviation	FLIGHT INTERNATIONAL	United States
FNV	Transaviaservice	TRANSAVIASERVICE	Georgia
FNX		CRESENT	
FNY	France Marine Nationale	FRENCH NAVY	France
FOA		FORTUNE AIR	
FOB	Ford Motor Company	FORDAIR	United Kingdom
FOC	Office Federal De'Aviation Civile	FOCA	Switzerland
FOF		FREDOLSEN	
FOH		ORION	
FOL		FORESTAIR	
FOM	Freedom Air	FREE AIR	New Zealand
FON		FONTANAIR	
FOO		AUSTROJET	
FOP		FOKKER FLIGHT	
FOR	Formula One Management	FORMULA	United Kingdom
FOT		AVIFOTO	
FOX		SPEEDFOX	
FPC		FINNPOWER	
FPG	TAG Aviation	TAG AVIATION	Switzerland
FPK		FEATHER	
FPL		MIDCAL	
FPO	Europe Airpost	FRENCH POST	France
FPS	Flightpass Limited	FLIGHTPASS	United Kingdom
FPY	African Company Airlines	AFRICOMPANY	Democratic Republic of the Congo
FQA	Quikjet Cargo Airlines	QUIK LIFT	India
FRA	FR Aviation	RUSHTON	United Kingdom
FRB	Fly Rak	RAKWAY	United Arab Emirates
FRC	Icare Franche Compte	FRANCHE COMPTE	France
FRD		FORD	
FRE	FlyPelican	PELICAN	Australia
FRE	Freedom Air	FREEDOM	United States
FRF	Fleet Air International	FAIRFLEET	Hungary
FRG	Freight Runners Express	FREIGHT RUNNERS	United States
FRH		FREEAIR COPTER	
FRI		FREEFLIGHT	
FRJ	Afrijet Airlines	AFRIJET	Nigeria
FRK	Afrika Aviation Handlers	AFRIFAST	Kenya
FRL	Freedom Airlines	FREEDOM AIR	United States
FRM	Federal Armored Service	FEDARM	United States
FRN		FIRST NATION	
FRO		FROBISHER	
FRQ	Afrique Chart'air	CHARTER AFRIQUE	Cameroon
FRR	Fresh Air	FRESH AIR	Nigeria
FRS		FLANDAIR	
FRT		AEROFREIGHT	
FRU		FRENCH RESCUE	
FRW	Farwest Airlines	FARWEST	United States
FRX	Fort Aero	FORT AERO	Estonia
FSA	Foster Aviation	FOSTER-AIR	United States
FSB	FSB Flugservice & Development	SEABIRD	Germany
FSC	Four Star Aviation / Four Star Cargo	FOUR STAR	United States
FSD	EFS-Flugservice	FLUGSERVICE	Germany
FSH	Flash Airlines	FLASH	Egypt
FSI		FLIGHTWAYS	
FSJ		FREE SKY	
FSK		AFRICAN SKY	
FSL	Flight Safety Limited	FLIGHTSAFETY	United Kingdom
FSN		FASON AIR	
FSP		SNAPSHOT	
FSR	Flightstar Corporation	FLIGHTSTAR	United States
FST		FLIGHTRON	
FSW	Faso Airways	FASO	Burkina Faso
FSX	Flagship Express Services	FLAG	United States
FSY	Algonquin Airlink	FROSTY	Canada
FTA	Frontier Flying Service	FRONTIER-AIR	United States
FTC	Air Affaires Tchad	AFFAIRES TCHAD	Chad
FTD		FORTITUDE	
FTE	Fotografia F3	FOTOGRAFIA	Spain
FTG		TECHNOLOGY	
FTH		FOOTHILLS	
FTI		FROG-LINE	
FTJ		F_U TAI	
FTL	Flightline	FLIGHT-AVIA	Spain
FTM	Flyteam Aviation	FLYTEAM	United Kingdom
FTN		FORTUNE	
FTP	Keystone Aerial Surveys	FOOTPRINT	United States
FTR	Finist'air	FINISTAIR	France
FTS	First Sabre	FIRST SABRE	Mexico
FTT		FLIGHT TRAINING	
FTU		FLIGHT UNIVERSITY	
FTW		FORT WORTH AIR	
FTY	ABC Bedarfsflug	FLY TYROL	Austria
FTZ	Fastjet	GREY BIRD	Tanzania
FUA		FUTURA	
FUC		FUMICAR	
FUE		AVIASTAR-VOLGA	
FUF	Servicios Aereos Fun Fly	SERVIFUN	Mexico
FUJ	Fujairah Aviation Centre	FUJAIRAH	United Arab Emirates
FUL		ORANGE CRANE	
FUM	Fuxion Line Mexico	FUNLINE	Mexico
FUN	Funtshi Aviation Service	FUNTSHI	Democratic Republic of the Congo
FUP		FOX AIR	
FUR		FUTUROSCOPE	
FUS		FUMISOL	
FUT	Aereo Futuro	AEREO FUTURO	Mexico
FVA	Cardinal/Air Virginia	AIR VIRGINIA	United States
FVE		ANGELS	
FVG		NICO	
FVK	FlyViking	BALDER	Norway
FVS	Falcon Aviation Services	FALCON AVIATION	United Arab Emirates
FWA		FREEWAYAIR	
FWC		FREEWAY	
FWD	Fair Wind Air Charter	FAIR WIND	United Arab Emirates
FWI	Air Caraibes	FRENCH WEST	France
FWL	Florida West International Airways	FLO WEST	United States
FWQ	Flight West Airlines	UNITY	Australia
FWR		FLIGHTAWARE	
FWY	Fairways Corporation	FAIRWAYS	United States
FXA	Express Air	EFFEX	United States
FXC	Fortunair Canada	AIR FUTURE	Canada
FXF	VIP Air Charter	FOX FLIGHT	United States
FXG		CARGO EXPRESS	
FXI	Air Iceland	FAXI	Iceland
FXJ		EUROFLEX	
FXL	Fly Excellent	FLY EXCELLENT	Sweden
FXP		SUNDIAL	
FXR	Foxair	WILDFOX	Italy
FXW		FLEXWING	
FXX		FELIX	
FXY		FLEXY	
FYA	Servicios Aéreos Integrales / Flyant	FLYANT	Spain
FYB		CONTRAIL	
FYC		FLIGHTCAB	
FYD		FLYING DEVIL	
FYE	Easy Link Aviation Services	FLYME	Nigeria
FYG	Flying Service	FLYING GROUP	Belgium
FYH	Flyhy Cargo Airlines	FLY HIGH	Thailand
FYL		FLYINGLUX	
FYN	Comfort Air	FLYNN	Germany
FYS	American Flyers	AMERICAN FLYERS	United States
FYW		MAISBRASIL	
FYY		FINNINGLEY	
FZA		STRAIT AIR	
FZW		FRESH EXPRESS	
GAA	Business Express	BIZEX	United States
GAB	Gendall Air	GENDALL	Canada
GAC	GlobeAir	DREAM TEAM	Austria
GAD	South Coast Aviation	SOUTHCOAST	United Kingdom
GAE	Grand Aire Express	GRAND EXPRESS	United States
GAF	German Air Force	GERMAN AIR FORCE	Germany
GAG	Greybird Pilot Academy	GEEBIRD	Denmark
GAH	Ga-Ma Helicoptere	GAMHELICO	France
GAI	Moskovia Airlines	GROMOV AIRLINE	Russia
GAJ	Gama Aviation	GAMA JET	United States
GAK	Global Aviation and Services Group	AVIAGROUP	Libya
GAL	Galaxy Air	GALAXY	Kyrgyzstan
GAM	German Army	GERMAN ARMY	Germany
GAN	Gander Aviation	GANAIR	Canada
GAO	Golden Air	GOLDEN	Sweden
GAP	Air Philippines	ORIENT PACIFIC	Philippines
GAQ	Golfe Air Quebec	GOLFAIR	Canada
GAS	Galena Air Service	GALENA AIR SERVICE	United States
GAT	Gulf Air Inc	GULF TRANS	United States
GAU	Aerogaucho	AEROGAUCHO	Uruguay
GAV	Granada Aviación	GRANAVI	Spain
GAW		SKYCRAWLER	
GAX	Full Express	GRAND AIRE	United States
GBA		GULF BAHRAIN	
GBB	Global Aviation Operations	GLOBE	South Africa
GBC	Guangxi Beibu Gulf Airlines	SPRAY	China
GBE	Gabon Express	GABEX	Gabon
GBF		GICON	
GBG		OMEGA COPTERS	
GBJ	Aero Business Charter	GLOBAL JET	Germany
GBL	GB Airways	GEEBEE AIRWAYS	United Kingdom
GBM		AEREO GEE-BEE-EMM	
GBN	Atlantic Airlines	ATLANTIC GABON	Gabon
GBQ		GAMBIA BIRD	
GBR	Rader Aviation	GREENBRIER AIR	United States
GBS	Global Air Services Nigeria	GLOBAL SERVE	Nigeria
GBT	A-Jet Aviation Aircraft Management	GLOBETROTTER	Austria
GBU		TRANSBISSAU	
GBX	GB Airlink	ISLAND TIGER	United States
GCA		GRAND CRU	
GCB	Lignes Nationales Aeriennes - Linacongo	LINACONGO	Republic of the Congo
GCC	GECAS	GECAS	Ireland
GCD		WEST GEORGIA	
GCE		EUROPA CANARIAS	
GCF	Aeronor	AEROCARTO	Spain
GCH	Gama Aviation Switzerland	GAMA SWISS	Switzerland
GCK		GLOCK	
GCL		GREENCLOSE	
GCM	Comair Flight Services	GLOBECOM	South Africa
GCN	Gulf Central Airlines	GULF CENTRAL	United States
GCO	Gemini Air Cargo	GEMINI	United States
GCP		DAC FLIGHT	
GCR	Tianjin Airlines	BO HAI	China
GCS	GCS Air Service	GALION	United States
GCT		GULF COAST	
GCV		GEEBIRD	
GCW	Global Air Crew	GLOBALCREW	Denmark
GCY	CHC Global Operations International	HELIBIRD	United Kingdom
GDA	GoldAir	AIR PARTNER	United Kingdom
GDB	Gendarmerie Belge	BELGIAN GENERMERIE	Belgium
GDC		GRAND CHINA	
GDD	Golden Airlines	GOLDEN AIRLINES	United States
GDE	Servicios Aéreos Gadel	GADEL	Mexico
GDG	S.P. Aviation	GOLDEN GATE	United States
GDH	Guneydogu Havacilik Isletmesi	RISING SUN	Turkey
GDK	Goldeck-Flug	GOLDECK	Austria
GDK	Goldeck-Flug	GOLDECK FLUG	Austria
GDM		AEROSERVIZI	
GDR		GADAIR LINES	
GDS		GOLDSTRIKE	
GDY		GUARDIAN	
GEA	Guinea Ecuatorial Airlines	GEASA	Equatorial Guinea
GEB		GOLF-BRAVO AIR	
GEC	Lufthansa Cargo	LUFTHANSA CARGO	Germany
GED	Europe Air Lines	LANGUEDOC	France
GEE	Geesair	GEESAIR	Canada
GEF		AIR GEFCO	
GEG		DEMURI	
GEJ		GREENJET	
GEL		SKY GEORGIA	
GEM		SAPPHIRE	
GEN	GENSA	GENSA-BRASIL	Brazil
GEO		APOLAX	
GER		GERMAN WINGS	
GES	Gestair	GESTAIR	Spain
GET	Get High	AIR FLOW	Portugal
GEV		GESTAVI	
GEX		AERO GEORGIA	
GFA	Gulf Air	GULF AIR	Bahrain
GFC	Gail Force Express	GAIL FORCE	United States
GFD	Gesellschaft Fur Flugzieldarstellung	KITE	Germany
GFE		GREENLEAF	
GFF	Griffin Aviation	GRIFFIN AIR	Cyprus
GFG	Georgian National Airlines	NATIONAL	Georgia
GFI	Caribbean Star Airlines	CARIB STAR	Antigua and Barbuda
GFL		GREEN FOREST	
GFN	The 955 Preservation Group	GRIFFON	United Kingdom
GFO	Aerovías del Golfo	AEROVIAS GOLFO	Mexico
GFR		APUSK	
GFS	Gulfstream Airlines	GULFSTAR	United States
GFT	Gulfstream International Airlines	GULF FLIGHT	United States
GFV		GRUPO A_F_A	
GFY		GEOCARGO	
GGA	First Flying Squadron	JAWJA	United States
GGB		GLOBALAIR	
GGC	Cargo 360	LONG-HAUL	United States
GGE		ECUATO GUINEA	
GGF	Georgian Cargo Airlines Africa	GEORGIAN AFRICA	Senegal
GGG		GEOCARGO	
GGL	Aeronáutica	GIRA GLOBO	Angola
GGN	Air Georgian	GEORGIAN	Canada
GGO		GO BIRD	
GGS	GATSA	GATSA	Mexico
GGT	Trans Island Airways	THUNDERBALL	Bahamas
GGV	Houston Jet Services	GREGG AIR	Austria
GGW		HELIVALLEE	
GGZ	Global Georgian Airways	GLOBAL GEORGIAN	Georgia
GHA		GHANA	
GHB	Ghana International Airlines	GHANA AIRLINES	Ghana
GHK		GOLDEN HAWK	
GHL	Aviance	HANDLING	United Kingdom
GHN	Air Ghana	AIR GHANA	Ghana
GHP	Colvin Aviation	GRASSHOPPER EX	United States
GHS	Gatari Hutama Air Services	GATARI	Indonesia
GHV	Ground Handling Service de Mexico	GROUND HANDLING	Mexico
GHW		AIR STAR	
GHY	German Sky Airlines	GERMAN SKY	Germany
GIA	Garuda Indonesia	INDONESIA	Indonesia
GIB	GR-Avia	GRAVIA	Guinea
GIC	Compagnie de Bauxites de Guinee	CEBEGE	Guinea
GID		INTECOM	
GIE		GUINEE INTER	
GIF		GUINEE AIRLINES	
GIG	Gacela Air Cargo	GACELA AIR	Mexico
GIH	Union des Transports Africains de Guinee	TRANSPORT AFRICAIN	Guinea
GIJ	Guinea Airways	GUINEA AIRWAYS	Guinea
GIK	Seba Airlines	SEBA	Guinea
GIL	African International Transport	AFRICAN TRANSPORT	Guinea
GIM		GUINEE EXPRESS	
GIN		AREDOR	
GIO		GIO-AVIA	
GIP	Air Guinee Express	FUTURE EXPRESS	Guinea
GIQ	Guinee Paramount Airlines	GUIPAR	Guinea
GIR		GUINEE INTERNATIONAL	
GIS		GASS	
GIT		SOTAG	
GIU		UNION GUINEE	
GIV		GRIVCO	
GIW		BRISEAIR GUINEE	
GIX		TRANSMAX	
GIY	Probiz Guinee	PROBIZ	Guinea
GIZ	Africa Airlines	AFRILENS	Guinea
GJA		GREY JAY	
GJB	Trans-Air-Link	SKY TRUCK	United States
GJD		SARNAIR	
GJE		GLOBAL JETS	
GJH		GUINEE AIR	
GJI		GAINSTAR	
GJS	GoJet Airlines	LINDBERGH	United States
GJT	Gestión Aérea Ejecutiva	BANJET	Spain
GJZ		GOLDEN	
GKA	US Army Parachute Team	GOLDEN KNIGHTS	United States
GKN		GUEST KEEN	
GLA	Great Lakes Airlines	LAKES AIR	United States
GLB	Global Airways (GLB)	GLO-AIR	United States
GLD	Golden Star Air Cargo	GOLDEN STAR	Sudan
GLE	Goliaf Air	GOLIAF AIR	São Tomé and Príncipe
GLF	Gulfstream Aerospace	GULFSTREAM TEST	United States
GLG	Aerogal	AEROGAL	Ecuador
GLH		GLEN	
GLI		GALLIC	
GLJ	Global Jet Austria	GLOBAL AUSTRIA	Austria
GLK		KAZAK	
GLL	Air Gemini	TWINS	Angola
